Sequence Name,mcg,gvh,lip,chg,aac,alm1,alm2,Class
MASY_ECOLI,0.18,0.3,0.48,0.5,0.46,0.24,0.35,cp
RHAT_ECOLI,0.49,0.61,1.0,0.5,0.56,0.71,0.74,imU
SPEA_ECOLI,0.29,0.39,0.48,0.5,0.52,0.4,0.48,pp
SYM_ECOLI,0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp
PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74,im
AAS_ECOLI,0.44,0.52,0.48,0.5,0.43,0.47,0.54,im
GLPQ_ECOLI,0.63,0.83,0.48,0.5,0.4,0.39,0.19,pp
METC_ECOLI,0.24,0.43,0.48,0.5,0.54,0.52,0.59,cp
CYSE_ECOLI,0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp
METK_ECOLI,0.25,0.37,0.48,0.5,0.41,0.33,0.42,cp
LIVK_ECOLI,0.68,0.78,0.48,0.5,0.43,0.44,0.42,pp
PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp
FTSL_ECOLI,0.36,0.45,0.48,0.5,0.38,0.79,0.17,im
KAD_ECOLI,0.54,0.47,0.48,0.5,0.28,0.33,0.42,cp
CYNR_ECOLI,0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp
PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74,im
MCP1_ECOLI,0.86,0.39,0.48,0.5,0.59,0.89,0.9,imU
DPPB_ECOLI,0.64,0.46,0.48,0.5,0.48,0.73,0.76,imU
EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1.0,0.99,im
PTKC_ECOLI,0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU
POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71,im
CHEA_ECOLI,0.25,0.4,0.48,0.5,0.46,0.44,0.52,cp
PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp
LYSR_ECOLI,0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp
XYLE_ECOLI,0.69,0.39,0.48,0.5,0.57,0.76,0.79,im
CAFA_ECOLI,0.39,0.32,0.48,0.5,0.46,0.24,0.35,cp
OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp
KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU
CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63,im
PHOB_ECOLI,0.41,0.43,0.48,0.5,0.45,0.31,0.41,cp
SECE_ECOLI,0.48,0.49,0.48,0.5,0.52,0.77,0.71,im
DMSC_ECOLI,0.66,0.48,0.48,0.5,0.54,0.7,0.74,imU
SYY_ECOLI,0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp
SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7,imU
CPXA_ECOLI,0.79,0.36,0.48,0.5,0.46,0.82,0.7,imU
DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88,im
PSTC_ECOLI,0.58,0.34,0.48,0.5,0.56,0.87,0.81,im
MCP2_ECOLI,0.81,0.53,0.48,0.5,0.57,0.87,0.88,imU
THIK_ECOLI,0.17,0.52,0.48,0.5,0.49,0.37,0.46,cp
FEPD_ECOLI,0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU
IF2_ECOLI,0.22,0.36,0.48,0.5,0.35,0.39,0.47,cp
METB_ECOLI,0.47,0.29,0.48,0.5,0.51,0.33,0.43,cp
DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92,im
CHEW_ECOLI,0.44,0.27,0.48,0.5,0.55,0.52,0.58,cp
TYRB_ECOLI,0.36,0.42,0.48,0.5,0.53,0.32,0.41,cp
APT_ECOLI,0.2,0.44,0.48,0.5,0.46,0.51,0.57,cp
UBIC_ECOLI,0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp
GALP_ECOLI,0.63,0.5,0.48,0.5,0.59,0.85,0.86,im
SYK2_ECOLI,0.17,0.39,0.48,0.5,0.53,0.3,0.39,cp
DSBD_ECOLI,0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU
PTDA_ECOLI,0.6,0.46,0.48,0.5,0.45,0.81,0.83,im
LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66,im
FEPG_ECOLI,0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU
ALKH_ECOLI,0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp
LPLA_ECOLI,0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp
RND_ECOLI,0.44,0.49,0.48,0.5,0.39,0.38,0.4,cp
AMY1_ECOLI,0.7,0.61,0.48,0.5,0.56,0.52,0.43,pp
EFTS_ECOLI,0.24,0.35,0.48,0.5,0.31,0.19,0.31,cp
SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp
EFG_ECOLI,0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp
CSPA_ECOLI,0.31,0.23,0.48,0.5,0.73,0.05,0.14,cp
LEP_ECOLI,0.78,0.44,0.48,0.5,0.45,0.73,0.68,imU
AMY2_ECOLI,0.21,0.34,0.48,0.5,0.51,0.28,0.39,cp
GLYA_ECOLI,0.17,0.38,0.48,0.5,0.45,0.42,0.5,cp
PTWB_ECOLI,0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp
PTHA_ECOLI,0.41,0.43,0.48,0.5,0.5,0.24,0.25,cp
UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp
DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8,im
GGT_ECOLI,0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp
MALG_ECOLI,0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
SYT_ECOLI,0.37,0.44,0.48,0.5,0.42,0.39,0.47,cp
RIML_ECOLI,0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp
SYQ_ECOLI,0.28,0.33,0.48,0.5,0.45,0.22,0.33,cp
TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33,imU
NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
TOLB_ECOLI,0.69,0.65,0.48,0.5,0.63,0.48,0.41,pp
PPB_ECOLI,0.68,0.67,0.48,0.5,0.49,0.4,0.34,pp
RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp
BGLX_ECOLI,0.65,0.57,0.48,0.5,0.47,0.47,0.51,pp
DDLA_ECOLI,0.43,0.39,0.48,0.5,0.47,0.31,0.41,cp
CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69,im
CRL_ECOLI,0.4,0.45,0.48,0.5,0.38,0.22,0.0,cp
GSHR_ECOLI,0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp
TOLA_ECOLI,0.61,0.47,0.48,0.5,0.0,0.8,0.32,im
PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU
FTSQ_ECOLI,0.1,0.49,0.48,0.5,0.41,0.67,0.21,im
PNTA_ECOLI,0.33,0.37,0.48,0.5,0.46,0.65,0.69,im
DAPD_ECOLI,0.21,0.51,0.48,0.5,0.5,0.32,0.41,cp
DHG_ECOLI,0.84,0.44,0.48,0.5,0.48,0.71,0.74,im
GLNH_ECOLI,0.63,0.86,0.48,0.5,0.39,0.47,0.34,pp
FABB_ECOLI,0.65,0.47,0.48,0.5,0.59,0.3,0.4,cp
SYFB_ECOLI,0.34,0.42,0.48,0.5,0.41,0.34,0.43,cp
LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69,im
MELB_ECOLI,0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU
KUP_ECOLI,0.62,0.42,0.48,0.5,0.58,0.79,0.81,imU
GABP_ECOLI,0.47,0.59,0.48,0.5,0.52,0.76,0.79,im
KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
PPA_ECOLI,0.69,0.59,0.48,0.5,0.46,0.44,0.52,pp
TOLQ_ECOLI,0.63,0.75,0.48,0.5,0.64,0.73,0.66,im
AMPE_ECOLI,0.63,0.47,0.48,0.5,0.51,0.82,0.84,im
C562_ECOLI,0.72,0.86,0.48,0.5,0.17,0.55,0.21,pp
AGP_ECOLI,0.74,0.49,0.48,0.5,0.42,0.54,0.36,pp
OTC2_ECOLI,0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp
DCTA_ECOLI,0.73,0.36,0.48,0.5,0.53,0.91,0.92,im
MTR_ECOLI,0.74,0.7,0.48,0.5,0.66,0.65,0.69,im
ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89,im
FTSW_ECOLI,0.54,0.57,0.48,0.5,0.56,0.81,0.83,im
POTD_ECOLI,0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp
GLPD_ECOLI,0.61,0.45,0.48,0.5,0.48,0.35,0.41,cp
MCP3_ECOLI,0.6,0.5,1.0,0.5,0.54,0.77,0.8,im
ACEA_ECOLI,0.07,0.4,0.48,0.5,0.54,0.35,0.44,cp
RODA_ECOLI,0.61,0.66,0.48,0.5,0.46,0.87,0.88,im
SYA_ECOLI,0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp
OSMY_ECOLI,0.64,0.66,0.48,0.5,0.41,0.39,0.2,pp
GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89,im
SYI_ECOLI,0.25,0.26,0.48,0.5,0.39,0.32,0.42,cp
IPYR_ECOLI,0.47,0.47,0.48,0.5,0.22,0.16,0.26,cp
ECOT_ECOLI,0.67,0.81,0.48,0.5,0.25,0.42,0.25,pp
CHEY_ECOLI,0.23,0.4,0.48,0.5,0.39,0.28,0.38,cp
TNAB_ECOLI,0.68,0.51,0.48,0.5,0.71,0.75,0.78,im
PFLB_ECOLI,0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp
DHSD_ECOLI,0.54,0.49,0.48,0.5,0.4,0.87,0.88,im
KDSA_ECOLI,0.51,0.37,0.48,0.5,0.35,0.36,0.45,cp
NFRC_ECOLI,0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp
CYDA_ECOLI,0.55,0.47,0.48,0.5,0.57,0.78,0.8,im
ARAF_ECOLI,0.66,0.86,0.48,0.5,0.34,0.41,0.36,pp
BCR_ECOLI,0.79,0.41,0.48,0.5,0.66,0.81,0.83,imU
PTR_ECOLI,0.76,0.73,0.48,0.5,0.44,0.39,0.39,pp
THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39,cp
YTFQ_ECOLI,0.74,0.74,0.48,0.5,0.31,0.53,0.52,pp
PMBA_ECOLI,0.34,0.55,0.48,0.5,0.58,0.31,0.41,cp
CADB_ECOLI,0.83,0.48,0.48,0.5,0.65,0.76,0.79,imU
SYGB_ECOLI,0.25,0.51,0.48,0.5,0.37,0.42,0.5,cp
CAIT_ECOLI,0.69,0.43,0.48,0.5,0.59,0.74,0.77,imU
OPPA_ECOLI,0.69,0.8,0.48,0.5,0.46,0.57,0.26,pp
SOXS_ECOLI,0.32,0.33,0.48,0.5,0.6,0.06,0.2,cp
CHEB_ECOLI,0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp
OTC1_ECOLI,0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp
SLYD_ECOLI,0.47,0.28,0.48,0.5,0.56,0.2,0.25,cp
PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52,im
DSBA_ECOLI,0.71,0.71,0.48,0.5,0.4,0.54,0.39,pp
UVRB_ECOLI,0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp
ADI_ECOLI,0.23,0.32,0.48,0.5,0.55,0.25,0.35,cp
PTNA_ECOLI,0.35,0.37,0.48,0.5,0.3,0.34,0.43,cp
LYSP_ECOLI,0.34,0.51,0.48,0.5,0.67,0.9,0.9,im
MALQ_ECOLI,0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp
METR_ECOLI,0.52,0.57,0.48,0.5,0.42,0.47,0.54,cp
ATP6_ECOLI,0.27,0.35,0.48,0.5,0.51,0.77,0.79,im
FTSN_ECOLI,0.0,0.51,0.48,0.5,0.35,0.67,0.44,im
FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8,im
NRFF_ECOLI,0.7,0.71,0.48,0.5,0.42,0.84,0.85,pp
G3P2_ECOLI,0.33,0.45,0.48,0.5,0.52,0.32,0.41,cp
PTHB_ECOLI,0.36,0.47,0.48,0.5,0.51,0.69,0.72,im
CAIB_ECOLI,0.51,0.5,0.48,0.5,0.46,0.32,0.35,cp
RNE_ECOLI,0.43,0.32,0.48,0.5,0.33,0.45,0.52,cp
EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23,im
ACKA_ECOLI,0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp
SUBI_ECOLI,0.62,0.83,0.48,0.5,0.46,0.36,0.4,pp
SYP_ECOLI,0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp
CYPC_ECOLI,0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp
DDLB_ECOLI,0.53,0.38,0.48,0.5,0.44,0.26,0.36,cp
PEPE_ECOLI,0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp
MODA_ECOLI,0.63,0.65,0.48,0.5,0.39,0.44,0.35,pp
FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp
CHEZ_ECOLI,0.41,0.57,0.48,0.5,0.39,0.21,0.32,cp
CN16_ECOLI,0.67,0.7,0.48,0.5,0.46,0.45,0.33,pp
SECD_ECOLI,0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU
FEPB_ECOLI,0.7,0.64,0.48,0.5,0.47,0.51,0.47,pp
PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp
IF1_ECOLI,0.29,0.3,0.48,0.5,0.45,0.03,0.17,cp
ACEK_ECOLI,0.56,0.4,0.48,0.5,0.49,0.37,0.46,cp
UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU
RNB_ECOLI,0.24,0.34,0.48,0.5,0.38,0.3,0.4,cp
TORA_ECOLI,0.43,0.59,0.48,0.5,0.52,0.49,0.56,pp
PT1A_ECOLI,0.5,0.49,0.48,0.5,0.49,0.46,0.53,cp
ASG1_ECOLI,0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp
SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94,im
LON_ECOLI,0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp
G6PI_ECOLI,0.3,0.37,0.48,0.5,0.59,0.41,0.49,cp
CFA_ECOLI,0.22,0.43,0.48,0.5,0.48,0.16,0.28,cp
CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84,im
HPRT_ECOLI,0.37,0.52,0.48,0.5,0.42,0.42,0.36,cp
CYOE_ECOLI,0.67,0.37,0.48,0.5,0.54,0.64,0.68,imU
TREA_ECOLI,0.74,0.56,0.48,0.5,0.47,0.68,0.3,pp
TEHA_ECOLI,0.63,0.51,0.48,0.5,0.64,0.72,0.76,imU
SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp
MOTB_ECOLI,0.3,0.51,0.48,0.5,0.42,0.61,0.34,im
MALZ_ECOLI,0.36,0.41,0.48,0.5,0.48,0.47,0.54,cp
MCP4_ECOLI,0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU
LIVJ_ECOLI,0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp
SYV_ECOLI,0.0,0.38,0.48,0.5,0.42,0.48,0.55,cp
NHAB_ECOLI,0.7,0.46,0.48,0.5,0.56,0.78,0.73,im
CRED_ECOLI,0.78,0.33,0.48,0.5,0.57,0.77,0.79,imU
PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74,imU
GLNA_ECOLI,0.28,0.38,0.48,0.5,0.5,0.33,0.42,cp
SYE_ECOLI,0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp
USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33,cp
TESA_ECOLI,0.69,0.66,0.48,0.5,0.41,0.5,0.25,pp
GLTS_ECOLI,0.58,0.6,0.48,0.5,0.59,0.73,0.76,imU
ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87,im
