Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Document Type,Source
"Ping Z., Yushi L.","Performance of epoxy asphalt mixture under different conditions of construction technique",2019,"International Journal of Earth Sciences and Engineering","9","1",,"282","287",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986203203&partnerID=40&md5=c2b33249a1dd97c581a998eb519422a5","School of Transportation Engineering, Changsha University of Science and Technology, Changsha, China","Ping, Z., School of Transportation Engineering, Changsha University of Science and Technology, Changsha, China; Yushi, L., School of Transportation Engineering, Changsha University of Science and Technology, Changsha, China",,Article,Scopus
"Kenner S., Thaler R., Kucera M., Volbert K., Waas T.","Comparison of smart grid architectures for monitoring and analyzing power grid data via Modbus and REST",2017,"Eurasip Journal on Embedded Systems","2017","1", 12,"","",,,10.1186/s13639-016-0045-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982299883&partnerID=40&md5=28ef5f18c5448977519c150a8ea73442","Department of Computer Science and Mathematics, Technical University of Applied Sciences, Regensburg, Germany","Kenner, S., Department of Computer Science and Mathematics, Technical University of Applied Sciences, Regensburg, Germany; Thaler, R., Department of Computer Science and Mathematics, Technical University of Applied Sciences, Regensburg, Germany; Kucera, M., Department of Computer Science and Mathematics, Technical University of Applied Sciences, Regensburg, Germany; Volbert, K., Department of Computer Science and Mathematics, Technical University of Applied Sciences, Regensburg, Germany; Waas, T., Department of Computer Science and Mathematics, Technical University of Applied Sciences, Regensburg, Germany","Kenner, S.; Department of Computer Science and Mathematics, Technical University of Applied SciencesGermany; email: susanne1.kenner@oth-regensburg.de",Article,Scopus
"Guo S.-Y., Si Q.","Mechanical hydraulic characteristic analysis scheme based on lightweight crowd data in mobile embedded devices",2017,"Eurasip Journal on Embedded Systems","2017","1", 13,"","",,,10.1186/s13639-016-0049-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983656019&partnerID=40&md5=dc808b703db28641ae24e22db5d46f25","North China University of Water Resources and Electric Power, Zhengzhou, China","Guo, S.-Y., North China University of Water Resources and Electric Power, Zhengzhou, China; Si, Q., North China University of Water Resources and Electric Power, Zhengzhou, China","Guo, S.-Y.; North China University of Water Resources and Electric PowerChina; email: shyiguo@sina.com",Article,Scopus
"Balasa F., Abuaesh N., Gingu C.V., Luican I.I., Zhu H.","Energy-aware memory management for embedded multidimensional signal processing applications",2017,"Eurasip Journal on Embedded Systems","2017","1", 6,"","",,,10.1186/s13639-016-0043-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979645400&partnerID=40&md5=c76f6e743e236f8a2a8259fe3150639c","Department of Computer Science and Engineering, American University in Cairo, Cairo, Egypt; Fermilab, Batavia, IL, United States; Microsoft, Inc., Redmond, WA, United States; ARM, Inc., San Jose, CA, United States","Balasa, F., Department of Computer Science and Engineering, American University in Cairo, Cairo, Egypt; Abuaesh, N., Department of Computer Science and Engineering, American University in Cairo, Cairo, Egypt; Gingu, C.V., Fermilab, Batavia, IL, United States; Luican, I.I., Microsoft, Inc., Redmond, WA, United States; Zhu, H., ARM, Inc., San Jose, CA, United States","Balasa, F.; Department of Computer Science and Engineering, American University in CairoEgypt; email: fbalasa@aucegypt.edu",Article,Scopus
"Li L.-S., Gan S.-J., Yin X.-D.","Feedback recurrent neural network-based embedded vector and its application in topic model",2017,"Eurasip Journal on Embedded Systems","2017","1", 5,"","",,,10.1186/s13639-016-0038-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978699229&partnerID=40&md5=0098b59cbe470cc39ebcb06721e7af52","School of Electronics and Information Engineering, Hunan University of Science and Engineering, Yongzhou, Hunan, China; School of computer sciences Chengdu Normal University, Chengdu, Sichuan, China","Li, L.-S., School of Electronics and Information Engineering, Hunan University of Science and Engineering, Yongzhou, Hunan, China; Gan, S.-J., School of computer sciences Chengdu Normal University, Chengdu, Sichuan, China; Yin, X.-D., School of Electronics and Information Engineering, Hunan University of Science and Engineering, Yongzhou, Hunan, China","Gan, S.-J.; School of computer sciences Chengdu Normal UniversityChina; email: gsj1102@126.com",Review,Scopus
"Woulfe M., Manzke M.","A hybrid fixed-function and microprocessor solution for high-throughput broad-phase collision detection",2017,"Eurasip Journal on Embedded Systems","2017","1", 1,"","",,,10.1186/s13639-016-0037-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978485239&partnerID=40&md5=07bba1735d8bd910e828b665e427ff76","Graphics, Vision and Visualisation Group (GV2), School of Computer Science and Statistics, Trinity College Dublin, Dublin, Ireland","Woulfe, M., Graphics, Vision and Visualisation Group (GV2), School of Computer Science and Statistics, Trinity College Dublin, Dublin, Ireland; Manzke, M., Graphics, Vision and Visualisation Group (GV2), School of Computer Science and Statistics, Trinity College Dublin, Dublin, Ireland","Woulfe, M.; Graphics, Vision and Visualisation Group (GV2), School of Computer Science and Statistics, Trinity College DublinIreland; email: woulfem@tcd.ie",Article,Scopus
"Altmann M., Schlegl P., Volbert K.","A low-power wireless system for energy consumption analysis at mains sockets",2017,"Eurasip Journal on Embedded Systems","2017","1", 8,"","",,,10.1186/s13639-016-0041-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981244994&partnerID=40&md5=71b86e78ce34d0babc39efa2b02bbb95","Department of Computer Science and Mathematics, OTH Regensburg, Pruefeninger Strasse 58, Regensburg, Germany","Altmann, M., Department of Computer Science and Mathematics, OTH Regensburg, Pruefeninger Strasse 58, Regensburg, Germany; Schlegl, P., Department of Computer Science and Mathematics, OTH Regensburg, Pruefeninger Strasse 58, Regensburg, Germany; Volbert, K., Department of Computer Science and Mathematics, OTH Regensburg, Pruefeninger Strasse 58, Regensburg, Germany","Schlegl, P.; Department of Computer Science and Mathematics, OTH Regensburg, Pruefeninger Strasse 58, Germany; email: peter.schlegl@oth-regensburg.de",Article,Scopus
"Bonci A., Pirani M., Longhi S.","Embedded solutions for a class of highly unstable, underactuated and self-balancing robotic systems",2017,"Eurasip Journal on Embedded Systems","2017","1", 9,"","",,,10.1186/s13639-016-0046-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981266225&partnerID=40&md5=a33211afbfe0e86a43b41d9c56402b52","Universita’ Politecnica delle Marche, Dipartimento di Ingegneria dell’Informazione (DII), Via Brecce Bianche, Ancona, Italy","Bonci, A., Universita’ Politecnica delle Marche, Dipartimento di Ingegneria dell’Informazione (DII), Via Brecce Bianche, Ancona, Italy; Pirani, M., Universita’ Politecnica delle Marche, Dipartimento di Ingegneria dell’Informazione (DII), Via Brecce Bianche, Ancona, Italy; Longhi, S., Universita’ Politecnica delle Marche, Dipartimento di Ingegneria dell’Informazione (DII), Via Brecce Bianche, Ancona, Italy","Bonci, A.; Universita’ Politecnica delle Marche, Dipartimento di Ingegneria dell’Informazione (DII), Via Brecce Bianche, Italy; email: a.bonci@univpm.it",Article,Scopus
"Buchet M., Chazal F., Oudot S.Y., Sheehy D.R.","Efficient and robust persistent homology for measures",2017,"Computational Geometry: Theory and Applications","58",,,"70","96",,,10.1016/j.comgeo.2016.07.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978280254&partnerID=40&md5=eb8d89e36559781d317be419143943fd",,"Buchet, M.; Chazal, F.; Oudot, S.Y.; Sheehy, D.R.","Buchet, M.email: mickael.buchet@m4x.org",Article,Scopus
"Wei F., Ma J., Zhang R., Ma C., Wang X.","An efficient and practical threshold gateway-oriented password-authenticated key exchange protocol in the standard model",2017,"Science China Information Sciences","60","7", 72103,"","",,,10.1007/s11432-016-5535-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989355026&partnerID=40&md5=edd3173448a3897da76ab87fae871f2c","State Key Laboratory of Integrated Service Networks, Xidian University, Xi’an, China; State Key Laboratory of Mathematical Engineering and Advanced Computing, The PLA Information Engineering University, Zhengzhou, China; Engineering University of CAPF, Xi’an, China","Wei, F., State Key Laboratory of Integrated Service Networks, Xidian University, Xi’an, China, State Key Laboratory of Mathematical Engineering and Advanced Computing, The PLA Information Engineering University, Zhengzhou, China; Ma, J., State Key Laboratory of Integrated Service Networks, Xidian University, Xi’an, China; Zhang, R., State Key Laboratory of Mathematical Engineering and Advanced Computing, The PLA Information Engineering University, Zhengzhou, China; Ma, C., State Key Laboratory of Mathematical Engineering and Advanced Computing, The PLA Information Engineering University, Zhengzhou, China; Wang, X., Engineering University of CAPF, Xi’an, China","Wei, F.; State Key Laboratory of Integrated Service Networks, Xidian UniversityChina; email: weifs831020@163.com",Article,Scopus
